"","guide_title","guide_no","page_no","country","state","category","authors","date_created","year_publisehd","language","Category","Countries"
"222","Acre -- Timber Trees",187,12,"Brazil","","Plants, Trees","Christopher Baraloto, Francisco Walthier, Evandro Ferreira, Cara Rockwel","",2005,"English","Plants","Brazil"
"223","Minas Gerais -- Serra da Canastra National Park - Asclepiadaceas",180,4,"Brazil","","Plants, Climbers, Epiphytes, Terrestrial herbs","Maria Ana Farinaccio, Renato de Mello-Silva","",2005,"English","Plants","Brazil"
"224","Minas Gerais -- Atlantic Forest - Flowering Plants ",167,4,"Brazil","","Plants, Climbers, Epiphytes, Shrubs and treelets, Terrestrial herbs, Trees","Lúcio de Souza Leoni","",2004,"English","Plants","Brazil"
"225","Paraná -- Parque Baitaca, Morro de Anhangava Common Trees",156,2,"Brazil","","Plants, Shrubs and treelets, Trees","Nigel Pitman, Carlos Vellozo Roderjan, Robin B. Foster","",2003,"English","Plants","Brazil"
"226","São Paulo -- Fruits of the Atlantic Forest",131,4,"Brazil","","Plants, Climbers, Epiphytes, Fruits, Seeds, Shrubs and treelets, Trees","Marco Aurelio Pizo, L. Patrícia C. Morellato, Ivonne S.M. Galardo, Valesca B. Zipparro","",2002,"English","Plants","Brazil"
"227","Minas Gerais -- Atlantic Forest conspicuous plants",116,2,"Brazil","","Plants, Climbers, Epiphytes, Shrubs and treelets, Terrestrial herbs, Trees","Julio Antonio Lombardi","",2002,"English","Plants","Brazil"
"228","Minas Gerais -- Conspicuous Plants of the Cerrados and Campos Rupestres",115,2,"Brazil","","Plants, Climbers, Epiphytes, Shrubs and treelets, Terrestrial herbs, Trees","Julio Antonio Lombardi","",2002,"English","Plants","Brazil"
"229","Minas Gerais -- Conspicous Plants of the Caatinga",114,2,"Brazil","","Plants, Climbers, Epiphytes, Shrubs and treelets, Terrestrial herbs, Trees","Julio Antonio Lombardi","",2002,"English","Plants","Brazil"
"230","Pará -- Useful Plants of the Capoeira",108,4,"Brazil","","Plants, Climbers, Epiphytes, Shrubs and treelets, Terrestrial herbs, Trees, Useful plants","Montserrat Rios, Manoel dos Reis Cordeiro","",2002,"English","Plants","Brazil"
"231","São Paulo -- Fruits & Seeds of Myrtaceae",90,2,"Brazil","","Plants, Fruits, Seeds, Shrubs and treelets, Trees","Maria Lucia Kawasaki, Marco Aurelio Pizo","",2001,"English","Plants","Brazil"
"232","Minas Gerais -- Cadeia Espinhaço Palms",88,2,"Brazil","","Plants, Shrubs and treelets, Trees","Amauri Cesar Marcato, Jose Rubens Pirani","",2001,"English","Plants","Brazil"
"233","Minas Gerais -- Espinhaço mountain range Asclepiadoidae",19,14,"Brazil","","Plants, Climbers, Epiphytes, Shrubs and treelets, Terrestrial herbs, Trees","Alessandro Rapini","",2010,"English","Plants","Brazil"
"234","Varzea [Floodplain] common plants",18,2,"Ecuador, Peru, Colombia, Brazil, Bolivia","","Plants, Other (Plants)","Robin B. Foster, Tyana Wachter, Margaret R. Metz","",1999,"English","Plants","Brazil"
